Dataset: /home/uchinosub/git/MyResearches.ImageToText/output/image-orig/
k: 5, loop: 300
Number of classes: 10
Number of dics: 10
Number of test data: 100
Number of learning data: 890
~~~~~~~~~~~~~~~~~~~~正解率~~~~~~~~~~~~~~~~~~
| ~回目 | PRDC |  PAIR_MULTIPLE | PAIR_MULTIPLE_LOG | RECOMPRESSION |
| 221回目 | 0.59 | 0.75 | 0.64 | 0.71 | 
| 222回目 | 0.58 | 0.65 | 0.65 | 0.68 | 
| 223回目 | 0.66 | 0.69 | 0.68 | 0.7 | 
| 224回目 | 0.71 | 0.74 | 0.78 | 0.78 | 
| 225回目 | 0.64 | 0.71 | 0.64 | 0.66 | 
| 226回目 | 0.57 | 0.7 | 0.7 | 0.64 | 
| 227回目 | 0.77 | 0.72 | 0.76 | 0.71 | 
| 228回目 | 0.59 | 0.69 | 0.63 | 0.7 | 
| 229回目 | 0.51 | 0.63 | 0.66 | 0.64 | 
| 230回目 | 0.68 | 0.65 | 0.66 | 0.74 | 
| 231回目 | 0.58 | 0.65 | 0.63 | 0.64 | 
| 232回目 | 0.73 | 0.66 | 0.67 | 0.65 | 
| 233回目 | 0.6 | 0.67 | 0.7 | 0.7 | 
| 234回目 | 0.65 | 0.74 | 0.67 | 0.74 | 
| 235回目 | 0.72 | 0.76 | 0.77 | 0.76 | 
| 236回目 | 0.67 | 0.65 | 0.65 | 0.65 | 
| 237回目 | 0.66 | 0.79 | 0.75 | 0.74 | 
| 238回目 | 0.69 | 0.73 | 0.7 | 0.67 | 
| 239回目 | 0.65 | 0.76 | 0.71 | 0.73 | 
| 240回目 | 0.69 | 0.72 | 0.72 | 0.74 | 
| 241回目 | 0.64 | 0.69 | 0.69 | 0.71 | 
| 242回目 | 0.67 | 0.74 | 0.63 | 0.71 | 
| 243回目 | 0.71 | 0.7 | 0.65 | 0.74 | 
| 244回目 | 0.72 | 0.72 | 0.76 | 0.71 | 
| 245回目 | 0.65 | 0.68 | 0.63 | 0.69 | 
| 246回目 | 0.62 | 0.71 | 0.7 | 0.68 | 
| 247回目 | 0.68 | 0.75 | 0.71 | 0.77 | 
| 248回目 | 0.59 | 0.7 | 0.65 | 0.62 | 
| 249回目 | 0.68 | 0.7 | 0.73 | 0.74 | 
| 250回目 | 0.66 | 0.68 | 0.71 | 0.7 | 
| 251回目 | 0.69 | 0.69 | 0.67 | 0.72 | 
| 252回目 | 0.69 | 0.71 | 0.71 | 0.74 | 
| 253回目 | 0.7 | 0.68 | 0.74 | 0.7 | 
| 254回目 | 0.61 | 0.73 | 0.67 | 0.67 | 
| 255回目 | 0.7 | 0.75 | 0.74 | 0.7 | 
| 256回目 | 0.62 | 0.67 | 0.67 | 0.6 | 
| 257回目 | 0.76 | 0.78 | 0.8 | 0.76 | 
| 258回目 | 0.65 | 0.73 | 0.71 | 0.73 | 
| 259回目 | 0.65 | 0.7 | 0.73 | 0.61 | 
| 260回目 | 0.53 | 0.59 | 0.61 | 0.61 | 
| 261回目 | 0.61 | 0.7 | 0.7 | 0.69 | 
| 262回目 | 0.63 | 0.72 | 0.69 | 0.69 | 
| 263回目 | 0.63 | 0.72 | 0.7 | 0.78 | 
| 264回目 | 0.53 | 0.67 | 0.6 | 0.63 | 
| 265回目 | 0.64 | 0.71 | 0.7 | 0.62 | 
| 266回目 | 0.65 | 0.73 | 0.66 | 0.64 | 
| 267回目 | 0.61 | 0.72 | 0.72 | 0.68 | 
| 268回目 | 0.7 | 0.74 | 0.75 | 0.73 | 
| 269回目 | 0.67 | 0.72 | 0.7 | 0.77 | 
| 270回目 | 0.63 | 0.7 | 0.63 | 0.75 | 
| 271回目 | 0.64 | 0.63 | 0.69 | 0.69 | 
| 272回目 | 0.61 | 0.59 | 0.58 | 0.56 | 
| 273回目 | 0.68 | 0.67 | 0.72 | 0.75 | 
| 274回目 | 0.61 | 0.71 | 0.71 | 0.66 | 
| 275回目 | 0.63 | 0.73 | 0.7 | 0.72 | 
| 276回目 | 0.63 | 0.68 | 0.7 | 0.61 | 
| 277回目 | 0.58 | 0.73 | 0.67 | 0.62 | 
| 278回目 | 0.7 | 0.74 | 0.68 | 0.65 | 
| 279回目 | 0.55 | 0.72 | 0.69 | 0.69 | 
| 280回目 | 0.59 | 0.68 | 0.73 | 0.65 | 
| 281回目 | 0.64 | 0.71 | 0.71 | 0.65 | 
| 282回目 | 0.65 | 0.68 | 0.71 | 0.65 | 
| 283回目 | 0.68 | 0.76 | 0.78 | 0.75 | 
| 284回目 | 0.61 | 0.69 | 0.68 | 0.69 | 
| 285回目 | 0.58 | 0.66 | 0.68 | 0.66 | 
| 286回目 | 0.73 | 0.74 | 0.74 | 0.77 | 
| 287回目 | 0.67 | 0.73 | 0.65 | 0.72 | 
| 288回目 | 0.59 | 0.67 | 0.65 | 0.68 | 
| 289回目 | 0.65 | 0.72 | 0.71 | 0.72 | 
| 290回目 | 0.58 | 0.64 | 0.57 | 0.6 | 
| 291回目 | 0.7 | 0.73 | 0.71 | 0.69 | 
| 292回目 | 0.65 | 0.71 | 0.7 | 0.71 | 
| 293回目 | 0.59 | 0.64 | 0.64 | 0.67 | 
| 294回目 | 0.66 | 0.67 | 0.72 | 0.71 | 
| 295回目 | 0.59 | 0.67 | 0.6 | 0.51 | 
| 296回目 | 0.7 | 0.66 | 0.76 | 0.75 | 
| 297回目 | 0.66 | 0.76 | 0.69 | 0.69 | 
| 298回目 | 0.73 | 0.73 | 0.78 | 0.76 | 
| 299回目 | 0.62 | 0.65 | 0.66 | 0.68 | 
| 300回目 | 0.67 | 0.71 | 0.7 | 0.73 | 
PRDC 平均正解率: 0.643233
PAIR_MULTIPLE 平均精度上昇率: 0.0533667
PAIR_MULTIPLE_LOG 平均精度上昇率: 0.0477667
RECOMPRESSION 平均精度上昇率: 0.0434
処理時間:30637秒

